"","x"
"1","bitcoin"
"2","the"
"3","btc"
"4","get"
"5","crypto"
"6","blockchain"
"7","tell"
"8","don"
"9","will"
"10","ask"
"11","crowd"
"12","emergency"
"13","person"
"14","point"
"15","someone"
"16","something"
